Using workers=8 (SLURM_CPUS_PER_TASK=10)
Fire months found in /s/chopin/e/proj/hyperspec/masfiq/wildfire_prediction/dataset/modis/geotiff: [(2023, 1), (2023, 2), (2023, 3), (2023, 4), (2023, 5), (2023, 6), (2023, 7), (2023, 8), (2023, 9), (2023, 10), (2023, 11), (2023, 12)]
Merged into 1 pre-fire search window(s):
  2022-10-03 -> 2023-12-31
  window 2022-10-03 -> 2023-12-31: 53503 granules
Total unique granules found: 53503
Submitting 53503 granules to the pool...
[1/53503] [1] HLS.L30.T11UPQ.2022276T183640.v2.0: wrote 8 files
[2/53503] [2] HLS.L30.T11UNQ.2022276T183640.v2.0: wrote 8 files
[3/53503] [0] HLS.L30.T11UMQ.2022276T183640.v2.0: wrote 8 files
[4/53503] [3] HLS.L30.T11UPP.2022276T183704.v2.0: wrote 8 files
[5/53503] [6] HLS.L30.T11ULP.2022276T183727.v2.0: wrote 8 files
[6/53503] [7] HLS.L30.T11TNN.2022276T183727.v2.0: wrote 8 files
[7/53503] [4] HLS.L30.T11UMP.2022276T183704.v2.0: wrote 8 files
[8/53503] [5] HLS.L30.T11UNP.2022276T183704.v2.0: wrote 8 files
[9/53503] [8] HLS.L30.T11TLM.2022276T183727.v2.0: wrote 8 files
[10/53503] [10] HLS.L30.T11TLN.2022276T183727.v2.0: wrote 8 files
[11/53503] [9] HLS.L30.T11TMM.2022276T183727.v2.0: wrote 8 files
[12/53503] [13] HLS.L30.T11TNK.2022276T183751.v2.0: wrote 8 files
[13/53503] [11] HLS.L30.T11TMN.2022276T183727.v2.0: wrote 8 files
[14/53503] [12] HLS.L30.T11TNM.2022276T183727.v2.0: wrote 8 files
[15/53503] [14] HLS.L30.T10TGR.2022276T183751.v2.0: wrote 8 files
[16/53503] [15] HLS.L30.T11TMK.2022276T183751.v2.0: wrote 8 files
[17/53503] [16] HLS.L30.T11TLL.2022276T183751.v2.0: wrote 8 files
[18/53503] [17] HLS.L30.T11TNL.2022276T183751.v2.0: wrote 8 files
[19/53503] [18] HLS.L30.T11TML.2022276T183751.v2.0: wrote 8 files
[20/53503] [19] HLS.L30.T10TGQ.2022276T183815.v2.0: wrote 8 files
[21/53503] [21] HLS.L30.T10TGP.2022276T183815.v2.0: wrote 8 files
[22/53503] [20] HLS.L30.T11TLK.2022276T183815.v2.0: wrote 8 files
[23/53503] [22] HLS.L30.T11TLJ.2022276T183815.v2.0: wrote 8 files
[24/53503] [23] HLS.L30.T11TMJ.2022276T183815.v2.0: wrote 8 files
[25/53503] [25] HLS.L30.T11TMG.2022276T183839.v2.0: wrote 8 files
[26/53503] [24] HLS.L30.T11TLH.2022276T183839.v2.0: wrote 8 files
[27/53503] [26] HLS.L30.T11TMH.2022276T183839.v2.0: wrote 8 files
[28/53503] [27] HLS.L30.T10TGN.2022276T183839.v2.0: wrote 8 files
[29/53503] [29] HLS.L30.T10TFL.2022276T183903.v2.0: wrote 8 files
[30/53503] [28] HLS.L30.T11TLG.2022276T183839.v2.0: wrote 8 files
[31/53503] [30] HLS.L30.T11TKG.2022276T183903.v2.0: wrote 8 files
[32/53503] [31] HLS.L30.T10TGM.2022276T183903.v2.0: wrote 8 files
[33/53503] [32] HLS.L30.T10TGL.2022276T183903.v2.0: wrote 8 files
[34/53503] [33] HLS.L30.T11TKF.2022276T183903.v2.0: wrote 8 files
[35/53503] [34] HLS.L30.T11TLF.2022276T183903.v2.0: wrote 8 files
[36/53503] [37] HLS.L30.T10TFK.2022276T183927.v2.0: wrote 8 files
[37/53503] [35] HLS.L30.T11TKE.2022276T183927.v2.0: wrote 8 files
[38/53503] [36] HLS.L30.T10TGK.2022276T183927.v2.0: wrote 8 files
[39/53503] [38] HLS.L30.T11TLE.2022276T183927.v2.0: wrote 8 files
[40/53503] [39] HLS.L30.T11SLD.2022276T183927.v2.0: wrote 8 files
[41/53503] [40] HLS.L30.T10SFJ.2022276T183927.v2.0: wrote 8 files
[42/53503] [42] HLS.L30.T11SKD.2022276T183927.v2.0: wrote 8 files
[43/53503] [41] HLS.L30.T10SGJ.2022276T183927.v2.0: wrote 8 files
[44/53503] [43] HLS.L30.T11SLC.2022276T183951.v2.0: wrote 8 files
[45/53503] [44] HLS.L30.T10SFH.2022276T183951.v2.0: wrote 8 files
[46/53503] [47] HLS.L30.T10SEG.2022276T184015.v2.0: wrote 8 files
[47/53503] [45] HLS.L30.T10SGH.2022276T183951.v2.0: wrote 8 files
[48/53503] [46] HLS.L30.T11SKC.2022276T183951.v2.0: wrote 8 files
[49/53503] [48] HLS.L30.T10SEF.2022276T184015.v2.0: wrote 8 files
[50/53503] [49] HLS.L30.T11SKA.2022276T184015.v2.0: wrote 8 files
[51/53503] [50] HLS.L30.T10SGG.2022276T184015.v2.0: wrote 8 files
[52/53503] [51] HLS.L30.T10SFF.2022276T184015.v2.0: wrote 8 files
[53/53503] [55] HLS.L30.T11SKU.2022276T184039.v2.0: wrote 8 files
[54/53503] [52] HLS.L30.T11SKB.2022276T184015.v2.0: wrote 8 files
[55/53503] [54] HLS.L30.T10SGF.2022276T184015.v2.0: wrote 8 files
[56/53503] [53] HLS.L30.T10SFG.2022276T184015.v2.0: wrote 8 files
[57/53503] [62] HLS.S30.T11UQQ.2022276T184219.v2.0: wrote 8 files
[58/53503] [56] HLS.L30.T10SGD.2022276T184039.v2.0: wrote 8 files
[59/53503] [63] HLS.S30.T11UPQ.2022276T184219.v2.0: wrote 8 files
[60/53503] [57] HLS.L30.T11SKV.2022276T184039.v2.0: wrote 8 files
[61/53503] [60] HLS.L30.T10SGC.2022276T184102.v2.0: wrote 8 files
[62/53503] [58] HLS.L30.T10SFE.2022276T184039.v2.0: wrote 8 files
[63/53503] [64] HLS.S30.T11UNQ.2022276T184219.v2.0: wrote 8 files
[64/53503] [59] HLS.L30.T10SGE.2022276T184039.v2.0: wrote 8 files
[65/53503] [61] HLS.L30.T10SFD.2022276T184102.v2.0: wrote 8 files
[66/53503] [66] HLS.S30.T11UQP.2022276T184219.v2.0: wrote 8 files
[67/53503] [65] HLS.S30.T11UMQ.2022276T184219.v2.0: wrote 8 files
[68/53503] [70] HLS.S30.T11TQN.2022276T184219.v2.0: wrote 8 files
[69/53503] [73] HLS.S30.T11TQM.2022276T184219.v2.0: wrote 8 files
[70/53503] [67] HLS.S30.T11UPP.2022276T184219.v2.0: wrote 8 files
[71/53503] [68] HLS.S30.T11UNP.2022276T184219.v2.0: wrote 8 files
[72/53503] [69] HLS.S30.T11UMP.2022276T184219.v2.0: wrote 8 files
[73/53503] [71] HLS.S30.T11TPN.2022276T184219.v2.0: wrote 8 files
[74/53503] [72] HLS.S30.T11TNN.2022276T184219.v2.0: wrote 8 files
[75/53503] [74] HLS.S30.T11TMN.2022276T184219.v2.0: wrote 8 files
[76/53503] [75] HLS.S30.T11TPM.2022276T184219.v2.0: wrote 8 files
[77/53503] [76] HLS.S30.T11TNM.2022276T184219.v2.0: wrote 8 files
[78/53503] [78] HLS.S30.T11TLM.2022276T184219.v2.0: wrote 8 files
[79/53503] [79] HLS.S30.T11TPL.2022276T184219.v2.0: wrote 8 files
[80/53503] [77] HLS.S30.T11TMM.2022276T184219.v2.0: wrote 8 files
[81/53503] [80] HLS.S30.T11TNL.2022276T184219.v2.0: wrote 8 files
[82/53503] [81] HLS.S30.T11TML.2022276T184219.v2.0: wrote 8 files
[83/53503] [82] HLS.S30.T11TLL.2022276T184219.v2.0: wrote 8 files
[84/53503] [83] HLS.S30.T11TPK.2022276T184219.v2.0: wrote 8 files
[85/53503] [84] HLS.S30.T11TNK.2022276T184219.v2.0: wrote 8 files
[86/53503] [85] HLS.S30.T11TMK.2022276T184219.v2.0: wrote 8 files
[87/53503] [86] HLS.S30.T11TLK.2022276T184219.v2.0: wrote 8 files
[88/53503] [87] HLS.S30.T11TPJ.2022276T184219.v2.0: wrote 8 files
[89/53503] [90] HLS.S30.T11TPH.2022276T184219.v2.0: wrote 8 files
[90/53503] [88] HLS.S30.T11TNJ.2022276T184219.v2.0: wrote 8 files
[91/53503] [89] HLS.S30.T11TMJ.2022276T184219.v2.0: wrote 8 files
[92/53503] [91] HLS.S30.T11TLJ.2022276T184219.v2.0: wrote 8 files
[93/53503] [92] HLS.S30.T11TNH.2022276T184219.v2.0: wrote 8 files
[94/53503] [93] HLS.S30.T10TGP.2022276T184219.v2.0: wrote 8 files
[95/53503] [96] HLS.S30.T10TGN.2022276T184219.v2.0: wrote 8 files
[96/53503] [94] HLS.S30.T11TMH.2022276T184219.v2.0: wrote 8 files
[97/53503] [95] HLS.S30.T11TLH.2022276T184219.v2.0: wrote 8 files
[98/53503] [97] HLS.S30.T11TNG.2022276T184219.v2.0: wrote 8 files
[99/53503] [98] HLS.S30.T11TMG.2022276T184219.v2.0: wrote 8 files
[100/53503] [99] HLS.S30.T11TLG.2022276T184219.v2.0: wrote 8 files
[101/53503] [100] HLS.S30.T10TGM.2022276T184219.v2.0: wrote 8 files
[102/53503] [101] HLS.S30.T11TKG.2022276T184219.v2.0: wrote 8 files
[103/53503] [102] HLS.S30.T11TNF.2022276T184219.v2.0: wrote 8 files
[104/53503] [103] HLS.S30.T11TMF.2022276T184219.v2.0: wrote 8 files
[105/53503] [105] HLS.S30.T11TKF.2022276T184219.v2.0: wrote 8 files
[106/53503] [104] HLS.S30.T11TLF.2022276T184219.v2.0: wrote 8 files
[107/53503] [106] HLS.S30.T10TGL.2022276T184219.v2.0: wrote 8 files
[108/53503] [107] HLS.S30.T11TNE.2022276T184219.v2.0: wrote 8 files
[109/53503] [108] HLS.S30.T11TME.2022276T184219.v2.0: wrote 8 files
[110/53503] [110] HLS.S30.T11SND.2022276T184219.v2.0: wrote 8 files
[111/53503] [109] HLS.S30.T11TLE.2022276T184219.v2.0: wrote 8 files
[112/53503] [111] HLS.S30.T11TKE.2022276T184219.v2.0: wrote 8 files
[113/53503] [112] HLS.S30.T10TGK.2022276T184219.v2.0: wrote 8 files
[114/53503] [113] HLS.S30.T11SMD.2022276T184219.v2.0: wrote 8 files
[115/53503] [114] HLS.S30.T11SLD.2022276T184219.v2.0: wrote 8 files
[116/53503] [115] HLS.S30.T11SKD.2022276T184219.v2.0: wrote 8 files
[117/53503] [116] HLS.S30.T10SGJ.2022276T184219.v2.0: wrote 8 files
[118/53503] [118] HLS.S30.T10SFJ.2022276T184219.v2.0: wrote 8 files
[119/53503] [117] HLS.S30.T11SMC.2022276T184219.v2.0: wrote 8 files
[120/53503] [120] HLS.S30.T11SKC.2022276T184219.v2.0: wrote 8 files
[121/53503] [119] HLS.S30.T11SLC.2022276T184219.v2.0: wrote 8 files
[122/53503] [122] HLS.S30.T10SFH.2022276T184219.v2.0: wrote 8 files
[123/53503] [121] HLS.S30.T10SGH.2022276T184219.v2.0: wrote 8 files
[124/53503] [123] HLS.S30.T11SMB.2022276T184219.v2.0: wrote 8 files
[125/53503] [124] HLS.S30.T11SLB.2022276T184219.v2.0: wrote 8 files
[126/53503] [125] HLS.S30.T11SKB.2022276T184219.v2.0: wrote 8 files
[127/53503] [126] HLS.S30.T10SGG.2022276T184219.v2.0: wrote 8 files
[128/53503] [127] HLS.S30.T11SMA.2022276T184219.v2.0: wrote 8 files
[129/53503] [128] HLS.S30.T10SFG.2022276T184219.v2.0: wrote 8 files
[130/53503] [130] HLS.S30.T11SKA.2022276T184219.v2.0: wrote 8 files
[131/53503] [129] HLS.S30.T11SLA.2022276T184219.v2.0: wrote 8 files
[132/53503] [131] HLS.S30.T10SGF.2022276T184219.v2.0: wrote 8 files
[133/53503] [132] HLS.S30.T10SFF.2022276T184219.v2.0: wrote 8 files
[134/53503] [133] HLS.S30.T11SLV.2022276T184219.v2.0: wrote 8 files
[135/53503] [134] HLS.S30.T11SKV.2022276T184219.v2.0: wrote 8 files
[136/53503] [135] HLS.S30.T10SGE.2022276T184219.v2.0: wrote 8 files
[137/53503] [136] HLS.S30.T10SFE.2022276T184219.v2.0: wrote 8 files
[138/53503] [137] HLS.S30.T11SLU.2022276T184219.v2.0: wrote 8 files
[139/53503] [138] HLS.S30.T11SKU.2022276T184219.v2.0: wrote 8 files
[140/53503] [139] HLS.S30.T10SGD.2022276T184219.v2.0: wrote 8 files
[141/53503] [140] HLS.S30.T10SFD.2022276T184219.v2.0: wrote 8 files
[142/53503] [146] HLS.S30.T12STE.2022277T181209.v2.0: wrote 8 files
[143/53503] [141] HLS.S30.T11SLT.2022276T184219.v2.0: wrote 8 files
[144/53503] [142] HLS.S30.T11SKT.2022276T184219.v2.0: wrote 8 files
[145/53503] [144] HLS.S30.T11SLS.2022276T184219.v2.0: wrote 8 files
[146/53503] [145] HLS.S30.T11SKS.2022276T184219.v2.0: wrote 8 files
[147/53503] [148] HLS.S30.T12STD.2022277T181209.v2.0: wrote 8 files
[148/53503] [143] HLS.S30.T10SGC.2022276T184219.v2.0: wrote 8 files
[149/53503] [147] HLS.S30.T11SQV.2022277T181209.v2.0: wrote 8 files
[150/53503] [155] HLS.S30.T12STA.2022277T181209.v2.0: wrote 8 files
[151/53503] [157] HLS.S30.T11SPR.2022277T181209.v2.0: SKIP NoDataInBounds (field does not intersect FMASK)
[152/53503] [150] HLS.S30.T12STC.2022277T181209.v2.0: wrote 8 files
[153/53503] [152] HLS.S30.T12STB.2022277T181209.v2.0: wrote 8 files
[154/53503] [156] HLS.S30.T11SQR.2022277T181209.v2.0: wrote 8 files
[155/53503] [149] HLS.S30.T11SQU.2022277T181209.v2.0: wrote 8 files
[156/53503] [158] HLS.L30.T11UQQ.2022277T183044.v2.0: wrote 8 files
[157/53503] [161] HLS.L30.T11UQP.2022277T183108.v2.0: wrote 8 files
[158/53503] [151] HLS.S30.T11SQT.2022277T181209.v2.0: wrote 8 files
[159/53503] [153] HLS.S30.T11SQS.2022277T181209.v2.0: wrote 8 files
[160/53503] [159] HLS.L30.T11UPQ.2022277T183044.v2.0: wrote 8 files
[161/53503] [160] HLS.L30.T11UNQ.2022277T183108.v2.0: wrote 8 files
[162/53503] [154] HLS.S30.T11SPS.2022277T181209.v2.0: wrote 8 files
[163/53503] [164] HLS.L30.T11TQN.2022277T183132.v2.0: wrote 8 files
[164/53503] [163] HLS.L30.T11UNP.2022277T183108.v2.0: wrote 8 files
[165/53503] [162] HLS.L30.T11UPP.2022277T183108.v2.0: wrote 8 files
[166/53503] [166] HLS.L30.T11TMN.2022277T183132.v2.0: wrote 8 files
[167/53503] [165] HLS.L30.T11TMM.2022277T183132.v2.0: wrote 8 files
[168/53503] [167] HLS.L30.T11TPM.2022277T183132.v2.0: wrote 8 files
[169/53503] [168] HLS.L30.T11TPN.2022277T183132.v2.0: wrote 8 files
[170/53503] [169] HLS.L30.T11TNN.2022277T183132.v2.0: wrote 8 files
[171/53503] [170] HLS.L30.T11TNM.2022277T183132.v2.0: wrote 8 files
[172/53503] [171] HLS.L30.T11TPK.2022277T183156.v2.0: wrote 8 files
[173/53503] [172] HLS.L30.T11TML.2022277T183156.v2.0: wrote 8 files
[174/53503] [175] HLS.L30.T11TPJ.2022277T183220.v2.0: wrote 8 files
[175/53503] [174] HLS.L30.T11TPL.2022277T183156.v2.0: wrote 8 files
[176/53503] [173] HLS.L30.T11TNL.2022277T183156.v2.0: wrote 8 files
[177/53503] [176] HLS.L30.T11TMK.2022277T183220.v2.0: wrote 8 files
[178/53503] [177] HLS.L30.T11TNK.2022277T183220.v2.0: wrote 8 files
[179/53503] [178] HLS.L30.T11TMJ.2022277T183220.v2.0: wrote 8 files
[180/53503] [180] HLS.L30.T11TLJ.2022277T183244.v2.0: wrote 8 files
[181/53503] [179] HLS.L30.T11TNJ.2022277T183220.v2.0: wrote 8 files
[182/53503] [181] HLS.L30.T11TLH.2022277T183244.v2.0: wrote 8 files
[183/53503] [182] HLS.L30.T11TNG.2022277T183244.v2.0: wrote 8 files
[184/53503] [183] HLS.L30.T11TNH.2022277T183244.v2.0: wrote 8 files
[185/53503] [184] HLS.L30.T11TMH.2022277T183244.v2.0: wrote 8 files
[186/53503] [186] HLS.L30.T11TNF.2022277T183308.v2.0: wrote 8 files
[187/53503] [185] HLS.L30.T11TMG.2022277T183244.v2.0: wrote 8 files
[188/53503] [187] HLS.L30.T11TLF.2022277T183308.v2.0: wrote 8 files
[189/53503] [188] HLS.L30.T11TMF.2022277T183308.v2.0: wrote 8 files
[190/53503] [189] HLS.L30.T11TLG.2022277T183308.v2.0: wrote 8 files
[191/53503] [191] HLS.L30.T11TNE.2022277T183331.v2.0: wrote 8 files
[192/53503] [190] HLS.L30.T11SKD.2022277T183331.v2.0: wrote 8 files
[193/53503] [192] HLS.L30.T11SMD.2022277T183331.v2.0: wrote 8 files
[194/53503] [193] HLS.L30.T11SLD.2022277T183331.v2.0: wrote 8 files
[195/53503] [194] HLS.L30.T11TLE.2022277T183331.v2.0: wrote 8 files
[196/53503] [195] HLS.L30.T10TGK.2022277T183331.v2.0: wrote 8 files
[197/53503] [197] HLS.L30.T11TKE.2022277T183331.v2.0: wrote 8 files
[198/53503] [196] HLS.L30.T11TME.2022277T183331.v2.0: wrote 8 files
[199/53503] [198] HLS.L30.T10SGJ.2022277T183355.v2.0: wrote 8 files
[200/53503] [199] HLS.L30.T11SKC.2022277T183355.v2.0: wrote 8 files
[201/53503] [200] HLS.L30.T10SGH.2022277T183355.v2.0: wrote 8 files
[202/53503] [201] HLS.L30.T11SMC.2022277T183355.v2.0: wrote 8 files
[203/53503] [202] HLS.L30.T11SLC.2022277T183355.v2.0: wrote 8 files
[204/53503] [203] HLS.L30.T11SMB.2022277T183419.v2.0: wrote 8 files
[205/53503] [205] HLS.L30.T10SGG.2022277T183419.v2.0: wrote 8 files
[206/53503] [204] HLS.L30.T10SGF.2022277T183419.v2.0: wrote 8 files
[207/53503] [206] HLS.L30.T11SKB.2022277T183419.v2.0: wrote 8 files
[208/53503] [207] HLS.L30.T11SLA.2022277T183419.v2.0: wrote 8 files
[209/53503] [208] HLS.L30.T11SKA.2022277T183419.v2.0: wrote 8 files
[210/53503] [209] HLS.L30.T11SLB.2022277T183419.v2.0: wrote 8 files
[211/53503] [210] HLS.L30.T11SLU.2022277T183443.v2.0: wrote 8 files
[212/53503] [211] HLS.L30.T11SLV.2022277T183443.v2.0: wrote 8 files
[213/53503] [215] HLS.L30.T10SFE.2022277T183507.v2.0: wrote 8 files
[214/53503] [213] HLS.L30.T10SGE.2022277T183443.v2.0: wrote 8 files
[215/53503] [212] HLS.L30.T11SKV.2022277T183443.v2.0: wrote 8 files
[216/53503] [214] HLS.L30.T11SKU.2022277T183443.v2.0: wrote 8 files
[217/53503] [216] HLS.L30.T10SFD.2022277T183507.v2.0: wrote 8 files
[218/53503] [217] HLS.L30.T11SLT.2022277T183507.v2.0: wrote 8 files
[219/53503] [218] HLS.L30.T11SKT.2022277T183507.v2.0: wrote 8 files
[220/53503] [222] HLS.S30.T11UMQ.2022277T190241.v2.0: wrote 8 files
[221/53503] [219] HLS.L30.T10SGC.2022277T183507.v2.0: wrote 8 files
[222/53503] [223] HLS.S30.T11ULQ.2022277T190241.v2.0: wrote 8 files
